created_at,total_pushes,total_pull_requests,total_comments,total_issues,follows,gists,watches
2013-12-17,673034,40176,89081,28554,5259,15949,72238
2013-12-18,669681,39158,86213,27093,5809,15837,65112
2013-12-19,664709,37726,81315,27731,5247,14682,64552
2013-12-20,603311,29752,63210,22284,4058,14125,56251
2013-12-21,169752,5871,21353,9215,2944,12311,21858
2013-12-22,209090,7277,26658,11283,4871,13091,19745
2013-12-23,411909,22942,53564,17765,3832,15762,45997
2013-12-24,259034,13497,31027,11523,3343,10181,31041
2013-12-25,184541,8610,19507,7848,3265,9130,19120
2013-12-26,310809,16073,35890,13308,4020,12060,32371
2013-12-27,308420,15227,38818,13832,3493,12329,34634
2013-12-28,166972,5251,20345,8776,2839,10698,19731
2013-12-29,201173,6648,22725,12013,3460,10067,19394
2013-12-30,384568,19952,49608,17346,4885,13686,42424
2013-12-31,256426,12710,32324,11062,3059,11433,32445
